Accounting Item Id,Actuals General Fund Revenues Id,County District Code,Fund Code,Last Updated,Revenue Code,School Year Code,Amount
1012057,2024-20251406813121,14068,1,12/8/2025 14:09,3121,2024-2025,573733.4
1012056,2024-20251406813100,14068,1,12/8/2025 14:09,3100,2024-2025,16204016.39
1012055,2024-20251406813000,14068,1,12/8/2025 14:09,3000,2024-2025,18141646.66
1012053,2024-20251406812900,14068,1,12/8/2025 14:09,2900,2024-2025,2839.77
1012051,2024-20251406812700,14068,1,12/8/2025 14:09,2700,2024-2025,15829.75
1012049,2024-20251406812500,14068,1,12/8/2025 14:09,2500,2024-2025,54444.75
1012046,2024-20251406812300,14068,1,12/8/2025 14:09,2300,2024-2025,205327.36
1012044,2024-20251406812289,14068,1,12/8/2025 14:09,2289,2024-2025,56370.55
1012040,2024-20251406812200,14068,1,12/8/2025 14:09,2200,2024-2025,27099.31
1012032,2024-20251406812100,14068,1,12/8/2025 14:09,2100,2024-2025,28406.66
1012031,2024-20251406812000,14068,1,12/8/2025 14:09,2000,2024-2025,390318.15
1012028,2024-20251406811500,14068,1,12/8/2025 14:09,1500,2024-2025,81453.66
1012027,2024-20251406811400,14068,1,12/8/2025 14:09,1400,2024-2025,2389.69
1012026,2024-20251406811300,14068,1,12/8/2025 14:09,1300,2024-2025,1880.89
1012025,2024-20251406811100,14068,1,12/8/2025 14:09,1100,2024-2025,3132612.77
1012024,2024-20251406811000,14068,1,12/8/2025 14:09,1000,2024-2025,3218337.01
1012024,2024-20253830811000,38308,1,12/8/2025 14:09,1000,2024-2025,237768.54
1012025,2024-20253830811100,38308,1,12/8/2025 14:09,1100,2024-2025,237768.54
1012031,2024-20253830812000,38308,1,12/8/2025 14:09,2000,2024-2025,172932.34
1012032,2024-20253830812100,38308,1,12/8/2025 14:09,2100,2024-2025,1660
1012039,2024-20253830812188,38308,1,12/8/2025 14:09,2188,2024-2025,1800
1012045,2024-20253830812298,38308,1,12/8/2025 14:09,2298,2024-2025,4527.75
1012046,2024-20253830812300,38308,1,12/8/2025 14:09,2300,2024-2025,4955.58
1012049,2024-20253830812500,38308,1,12/8/2025 14:09,2500,2024-2025,1345
1012053,2024-20253830812900,38308,1,12/8/2025 14:09,2900,2024-2025,158644.01
1012055,2024-20253830813000,38308,1,12/8/2025 14:09,3000,2024-2025,2128219.86
1012056,2024-20253830813100,38308,1,12/8/2025 14:09,3100,2024-2025,2108863.69
1012057,2024-20253830813121,38308,1,12/8/2025 14:09,3121,2024-2025,19356.17
1012061,2024-20253830814000,38308,1,12/8/2025 14:09,4000,2024-2025,458372.59
1012062,2024-20253830814100,38308,1,12/8/2025 14:09,4100,2024-2025,3246
1012064,2024-20253830814121,38308,1,12/8/2025 14:09,4121,2024-2025,169119.72
1012069,2024-20253830814155,38308,1,12/8/2025 14:09,4155,2024-2025,59792.25
1012071,2024-20253830814158,38308,1,12/8/2025 14:09,4158,2024-2025,8136.06
1012076,2024-20253830814198,38308,1,12/8/2025 14:09,4198,2024-2025,16682.99
1012077,2024-20253830814199,38308,1,12/8/2025 14:09,4199,2024-2025,201395.57
1012096,2024-20253830816000,38308,1,12/8/2025 14:09,6000,2024-2025,172669.11
1012108,2024-20253830816124,38308,1,12/8/2025 14:09,6124,2024-2025,20563
1012112,2024-20253830816151,38308,1,12/8/2025 14:09,6151,2024-2025,51048.48
1012113,2024-20253830816152,38308,1,12/8/2025 14:09,6152,2024-2025,21774.18
1012126,2024-20253830816198,38308,1,12/8/2025 14:09,6198,2024-2025,55365.95
1012144,2024-20253830816252,38308,1,12/8/2025 14:09,6252,2024-2025,14573.34
1012031,2024-20252040412000,20404,1,12/8/2025 14:09,2000,2024-2025,496502.29
1012040,2024-20252040412200,20404,1,12/8/2025 14:09,2200,2024-2025,83565.43
1012045,2024-20252040412298,20404,1,12/8/2025 14:09,2298,2024-2025,2114.7
1012046,2024-20252040412300,20404,1,12/8/2025 14:09,2300,2024-2025,61039.88
1012049,2024-20252040412500,20404,1,12/8/2025 14:09,2500,2024-2025,342650.06
1012050,2024-20252040412600,20404,1,12/8/2025 14:09,2600,2024-2025,3659.94
1012052,2024-20252040412800,20404,1,12/8/2025 14:09,2800,2024-2025,3472.28
